,Date,Price,Open,High,Low,Change %
316,2009-10-14,1.4926,1.4854,1.4948,1.4839,0.45%
317,2009-10-13,1.4859,1.4781,1.4878,1.476,0.58%
318,2009-10-12,1.4773,1.4724,1.4815,1.4678,0.29%
319,2009-10-09,1.473,1.4794,1.4798,1.4675,-0.41%
320,2009-10-08,1.479,1.4688,1.4817,1.468,0.69%
321,2009-10-07,1.4688,1.4718,1.4739,1.4652,-0.20%
322,2009-10-06,1.4718,1.4648,1.4766,1.4646,0.46%
323,2009-10-05,1.465,1.4592,1.4671,1.4581,0.54%
324,2009-10-02,1.4572,1.4534,1.465,1.4482,0.27%
325,2009-10-01,1.4533,1.4638,1.467,1.4518,-0.70%
326,2009-09-30,1.4636,1.4583,1.4674,1.4575,0.35%
327,2009-09-29,1.4585,1.4619,1.4646,1.4526,-0.25%
328,2009-09-28,1.4621,1.4699,1.4722,1.456,-0.46%
329,2009-09-25,1.4688,1.4664,1.4726,1.4614,0.18%
330,2009-09-24,1.4661,1.471,1.4806,1.4628,-0.48%
331,2009-09-23,1.4731,1.479,1.4844,1.4725,-0.40%
332,2009-09-22,1.479,1.4679,1.4825,1.4677,0.78%
333,2009-09-21,1.4675,1.4689,1.4714,1.4607,-0.24%
334,2009-09-18,1.471,1.4744,1.4747,1.4648,-0.20%
335,2009-09-17,1.4739,1.4707,1.4768,1.4686,0.18%
336,2009-09-16,1.4712,1.4658,1.4738,1.4642,0.35%
337,2009-09-15,1.4661,1.4629,1.4688,1.4561,0.25%
338,2009-09-14,1.4624,1.4596,1.4653,1.4515,0.37%
339,2009-09-11,1.457,1.4577,1.4637,1.4555,-0.06%
340,2009-09-10,1.4579,1.4571,1.4615,1.4501,0.12%
341,2009-09-09,1.4561,1.4488,1.4602,1.4465,0.52%
342,2009-09-08,1.4485,1.4335,1.4538,1.4329,1.05%
343,2009-09-07,1.4335,1.431,1.4362,1.4301,0.29%
344,2009-09-04,1.4293,1.426,1.433,1.4191,0.27%
345,2009-09-03,1.4254,1.4265,1.435,1.4236,-0.07%
346,2009-09-02,1.4264,1.4217,1.4296,1.4191,0.30%
