"Date","Price","Open","High","Low","Change %"
"Sep 21, 2009","1.4675","1.4689","1.4714","1.4607","-0.24%"
"Sep 18, 2009","1.4710","1.4744","1.4747","1.4648","-0.20%"
"Sep 17, 2009","1.4739","1.4707","1.4768","1.4686","0.18%"
"Sep 16, 2009","1.4712","1.4658","1.4738","1.4642","0.35%"
"Sep 15, 2009","1.4661","1.4629","1.4688","1.4561","0.25%"
"Sep 14, 2009","1.4624","1.4596","1.4653","1.4515","0.37%"
"Sep 11, 2009","1.4570","1.4577","1.4637","1.4555","-0.06%"
"Sep 10, 2009","1.4579","1.4571","1.4615","1.4501","0.12%"
"Sep 09, 2009","1.4561","1.4488","1.4602","1.4465","0.52%"
"Sep 08, 2009","1.4485","1.4335","1.4538","1.4329","1.05%"
"Sep 07, 2009","1.4335","1.4310","1.4362","1.4301","0.29%"
"Sep 04, 2009","1.4293","1.4260","1.4330","1.4191","0.27%"
"Sep 03, 2009","1.4254","1.4265","1.4350","1.4236","-0.07%"
"Sep 02, 2009","1.4264","1.4217","1.4296","1.4191","0.30%"
"Sep 01, 2009","1.4221","1.4332","1.4379","1.4177","-0.77%"
"Aug 31, 2009","1.4331","1.4306","1.4369","1.4255","0.22%"
"Aug 28, 2009","1.4299","1.4346","1.4391","1.4282","-0.36%"
"Aug 27, 2009","1.4351","1.4244","1.4405","1.4218","0.71%"
"Aug 26, 2009","1.4250","1.4303","1.4351","1.4206","-0.34%"
"Aug 25, 2009","1.4298","1.4299","1.4364","1.4254","-0.03%"
"Aug 24, 2009","1.4303","1.4344","1.4362","1.4281","-0.14%"
"Aug 21, 2009","1.4323","1.4249","1.4378","1.4210","0.51%"
"Aug 20, 2009","1.4250","1.4234","1.4278","1.4201","0.10%"
"Aug 19, 2009","1.4236","1.4133","1.4269","1.4083","0.73%"
"Aug 18, 2009","1.4133","1.4074","1.4156","1.4067","0.39%"
"Aug 17, 2009","1.4078","1.4186","1.4194","1.4045","-0.89%"
"Aug 14, 2009","1.4205","1.4283","1.4309","1.4161","-0.59%"
"Aug 13, 2009","1.4289","1.4204","1.4330","1.4202","0.61%"
"Aug 12, 2009","1.4203","1.4148","1.4248","1.4084","0.40%"
"Aug 11, 2009","1.4146","1.4146","1.4186","1.4110","0.00%"
"Aug 10, 2009","1.4146","1.4175","1.4219","1.4103","-0.30%"
"Aug 07, 2009","1.4188","1.4356","1.4417","1.4155","-1.12%"
"Aug 06, 2009","1.4348","1.4416","1.4433","1.4329","-0.44%"
"Aug 05, 2009","1.4412","1.4394","1.4449","1.4357","0.08%"
"Aug 04, 2009","1.4400","1.4417","1.4434","1.4367","-0.12%"
"Aug 03, 2009","1.4418","1.4268","1.4447","1.4206","1.18%"
"Jul 31, 2009","1.4250","1.4067","1.4282","1.4065","1.25%"
"Jul 30, 2009","1.4074","1.4036","1.4097","1.4007","0.26%"
